timestamp,load_kw
2006-12-16 17:20:00,4.216000
2006-12-16 17:25:00,4.661600
2006-12-16 17:30:00,3.836000
2006-12-16 17:35:00,4.668400
2006-12-16 17:40:00,3.917600
2006-12-16 17:45:00,5.525600
2006-12-16 17:50:00,3.124000
2006-12-16 17:55:00,3.828400
2006-12-16 18:00:00,3.370800
2006-12-16 18:05:00,6.010000
2006-12-16 18:10:00,2.982400
2006-12-16 18:15:00,4.129600
2006-12-16 18:20:00,3.036000
2006-12-16 18:25:00,4.140000
2006-12-16 18:30:00,2.940400
2006-12-16 18:35:00,4.050800
2006-12-16 18:40:00,2.391600
2006-12-16 18:45:00,3.589600
2006-12-16 18:50:00,2.780000
2006-12-16 18:55:00,4.165200
2006-12-16 19:00:00,3.588000
2006-12-16 19:05:00,3.454400
2006-12-16 19:10:00,3.411200
2006-12-16 19:15:00,3.406400
2006-12-16 19:20:00,3.333200
2006-12-16 19:25:00,3.593200
2006-12-16 19:30:00,3.376000
2006-12-16 19:35:00,3.351200
2006-12-16 19:40:00,3.390000
2006-12-16 19:45:00,3.370000
2006-12-16 19:50:00,3.322000
2006-12-16 19:55:00,3.207200
2006-12-16 20:00:00,3.210800
2006-12-16 20:05:00,3.307600
2006-12-16 20:10:00,3.403600
2006-12-16 20:15:00,3.327600
2006-12-16 20:20:00,3.296000
2006-12-16 20:25:00,3.246000
2006-12-16 20:30:00,3.242800
2006-12-16 20:35:00,3.204000
2006-12-16 20:40:00,3.320000
2006-12-16 20:45:00,3.437600
2006-12-16 20:50:00,3.462800
2006-12-16 20:55:00,2.764000
2006-12-16 21:00:00,3.001600
2006-12-16 21:05:00,2.984400
2006-12-16 21:10:00,2.966400
2006-12-16 21:15:00,3.115600
2006-12-16 21:20:00,3.119600
2006-12-16 21:25:00,3.006400
2006-12-16 21:30:00,3.062400
2006-12-16 21:35:00,3.008000
2006-12-16 21:40:00,3.045200
2006-12-16 21:45:00,3.114800
2006-12-16 21:50:00,3.125200
2006-12-16 21:55:00,3.128000
2006-12-16 22:00:00,3.036400
2006-12-16 22:05:00,2.966800
2006-12-16 22:10:00,3.015600
2006-12-16 22:15:00,2.010400
2006-12-16 22:20:00,2.024800
2006-12-16 22:25:00,2.039600
2006-12-16 22:30:00,1.948400
2006-12-16 22:35:00,1.852000
2006-12-16 22:40:00,1.796000
2006-12-16 22:45:00,1.839600
2006-12-16 22:50:00,1.894000
2006-12-16 22:55:00,1.978000
2006-12-16 23:00:00,1.900400
2006-12-16 23:05:00,1.855600
2006-12-16 23:10:00,2.075600
2006-12-16 23:15:00,1.852400
2006-12-16 23:20:00,1.752400
2006-12-16 23:25:00,2.006400
2006-12-16 23:30:00,2.108400
2006-12-16 23:35:00,2.128800
2006-12-16 23:40:00,1.968400
2006-12-16 23:45:00,1.868400
2006-12-16 23:50:00,2.801600
2006-12-16 23:55:00,2.420800
2006-12-17 00:00:00,2.284400
2006-12-17 00:05:00,1.934800
2006-12-17 00:10:00,2.552800
2006-12-17 00:15:00,1.540400
2006-12-17 00:20:00,1.592400
2006-12-17 00:25:00,2.002000
2006-12-17 00:30:00,1.878800
2006-12-17 00:35:00,1.556800
2006-12-17 00:40:00,1.649200
2006-12-17 00:45:00,1.714000
2006-12-17 00:50:00,2.170800
2006-12-17 00:55:00,1.713200
2006-12-17 01:00:00,2.492400
2006-12-17 01:05:00,4.150800
2006-12-17 01:10:00,4.504800
2006-12-17 01:15:00,4.074400
2006-12-17 01:20:00,3.530000
2006-12-17 01:25:00,3.302400
2006-12-17 01:30:00,3.417600
2006-12-17 01:35:00,3.398800
2006-12-17 01:40:00,3.341200
2006-12-17 01:45:00,2.968000
2006-12-17 01:50:00,2.952400
2006-12-17 01:55:00,2.060000
2006-12-17 02:00:00,1.561600
2006-12-17 02:05:00,1.511600
2006-12-17 02:10:00,1.601200
2006-12-17 02:15:00,1.556400
2006-12-17 02:20:00,1.679600
2006-12-17 02:25:00,1.691600
2006-12-17 02:30:00,1.509600
2006-12-17 02:35:00,1.611600
2006-12-17 02:40:00,1.516800
2006-12-17 02:45:00,1.658800
2006-12-17 02:50:00,1.597600
2006-12-17 02:55:00,1.550800
2006-12-17 03:00:00,1.889600
2006-12-17 03:05:00,1.681600
2006-12-17 03:10:00,1.440000
2006-12-17 03:15:00,1.518000
2006-12-17 03:20:00,1.738400
2006-12-17 03:25:00,1.608000
2006-12-17 03:30:00,1.804800
2006-12-17 03:35:00,1.721600
2006-12-17 03:40:00,1.682800
2006-12-17 03:45:00,1.625200
2006-12-17 03:50:00,1.671600
2006-12-17 03:55:00,1.564800
2006-12-17 04:00:00,1.661600
2006-12-17 04:05:00,1.751200
2006-12-17 04:10:00,1.692000
2006-12-17 04:15:00,1.608400
2006-12-17 04:20:00,1.420800
2006-12-17 04:25:00,1.974800
2006-12-17 04:30:00,2.934000
2006-12-17 04:35:00,2.535600
2006-12-17 04:40:00,2.699200
2006-12-17 04:45:00,2.720800
2006-12-17 04:50:00,2.650400
2006-12-17 04:55:00,2.940400
2006-12-17 05:00:00,3.101600
2006-12-17 05:05:00,2.694000
2006-12-17 05:10:00,2.734000
2006-12-17 05:15:00,1.706000
2006-12-17 05:20:00,1.692400
2006-12-17 05:25:00,1.727600
2006-12-17 05:30:00,1.751600
2006-12-17 05:35:00,1.695200
2006-12-17 05:40:00,1.640000
2006-12-17 05:45:00,1.513600
2006-12-17 05:50:00,1.780400
2006-12-17 05:55:00,1.924400
2006-12-17 06:00:00,1.684400
2006-12-17 06:05:00,1.448000
2006-12-17 06:10:00,1.750400
2006-12-17 06:15:00,2.424000
2006-12-17 06:20:00,1.631600
2006-12-17 06:25:00,2.197200
2006-12-17 06:30:00,1.789600
2006-12-17 06:35:00,0.781600
2006-12-17 06:40:00,0.688000
2006-12-17 06:45:00,0.614400
2006-12-17 06:50:00,0.394000
2006-12-17 06:55:00,0.236400
2006-12-17 07:00:00,0.223200
2006-12-17 07:05:00,0.313200
2006-12-17 07:10:00,0.694400
2006-12-17 07:15:00,2.328800
2006-12-17 07:20:00,2.286400
2006-12-17 07:25:00,2.349200
2006-12-17 07:30:00,1.433600
2006-12-17 07:35:00,2.312400
2006-12-17 07:40:00,1.420000
2006-12-17 07:45:00,2.405600
2006-12-17 07:50:00,1.383600
2006-12-17 07:55:00,2.290000
2006-12-17 08:00:00,1.452400
2006-12-17 08:05:00,2.306800
2006-12-17 08:10:00,1.478800
2006-12-17 08:15:00,2.059600
2006-12-17 08:20:00,1.874800
2006-12-17 08:25:00,1.558400
2006-12-17 08:30:00,2.257600
2006-12-17 08:35:00,1.392400
2006-12-17 08:40:00,2.338400
2006-12-17 08:45:00,1.337600
2006-12-17 08:50:00,2.513200
2006-12-17 08:55:00,2.116800
2006-12-17 09:00:00,5.223200
2006-12-17 09:05:00,5.600400
2006-12-17 09:10:00,2.561600
2006-12-17 09:15:00,2.129600
2006-12-17 09:20:00,1.840800
2006-12-17 09:25:00,1.668800
2006-12-17 09:30:00,2.610400
2006-12-17 09:35:00,1.472400
2006-12-17 09:40:00,2.005600
2006-12-17 09:45:00,1.741600
2006-12-17 09:50:00,1.528800
2006-12-17 09:55:00,2.205600
2006-12-17 10:00:00,1.933600
2006-12-17 10:05:00,3.237600
2006-12-17 10:10:00,2.877600
2006-12-17 10:15:00,1.347600
2006-12-17 10:20:00,2.071200
2006-12-17 10:25:00,3.490400
2006-12-17 10:30:00,3.807200
2006-12-17 10:35:00,5.735600
2006-12-17 10:40:00,5.834400
